"Entity","Year","Code.x","Perc_youth_not_in_eet","Continent","Perc_change","Code.y","Population"
"Afghanistan",2014,"AFG",35.06,"Asia",NA,"AFG",32792523
"Afghanistan",2017,"AFG",42.84,"Asia",22.1905305191101,"AFG",35688935
"Afghanistan",2020,"AFG",53.76,"Asia",25.4901960784314,"AFG",39068979
"Afghanistan",2021,"AFG",62.81,"Asia",16.8340773809524,"AFG",40000412
"Albania",2014,"ALB",31.39,"Europe",NA,"ALB",2889104
"Albania",2015,"ALB",29.82,"Europe",-5.00159286396942,"ALB",2880703
"Albania",2016,"ALB",27.39,"Europe",-8.14889336016097,"ALB",2876101
"Albania",2017,"ALB",26.23,"Europe",-4.23512230741146,"ALB",2873457
"Albania",2018,"ALB",26.61,"Europe",1.44872283644681,"ALB",2866376
"Albania",2019,"ALB",25.82,"Europe",-2.96880871852687,"ALB",2854191
"Algeria",2014,"DZA",22.8,"Africa",NA,"DZA",39205031
"Algeria",2015,"DZA",21.2,"Africa",-7.01754385964913,"DZA",40019529
"Algeria",2017,"DZA",20.95,"Africa",-1.17924528301887,"DZA",41689299
"Angola",2014,"AGO",30.62,"Africa",NA,"AGO",27160769
"Angola",2019,"AGO",23.06,"Africa",-24.689745264533,"AGO",32375632
"Angola",2021,"AGO",21.69,"Africa",-5.94102341717258,"AGO",34532429
"Argentina",2014,"ARG",19.67,"South America",NA,"ARG",43024071
"Argentina",2017,"ARG",19.25,"South America",-2.13523131672599,"ARG",44288894
"Argentina",2018,"ARG",19.02,"South America",-1.1948051948052,"ARG",44654882
"Argentina",2019,"ARG",19.23,"South America",1.10410094637224,"ARG",44973465
"Argentina",2020,"ARG",22.33,"South America",16.120644825793,"ARG",45191965
"Argentina",2021,"ARG",16.12,"South America",-27.8101209135692,"ARG",45312281
"Armenia",2014,"ARM",38.03,"Asia",NA,"ARM",3013800
"Armenia",2015,"ARM",35.56,"Asia",-6.49487246910334,"ARM",3004600
"Armenia",2016,"ARM",36.58,"Asia",2.8683914510686,"ARM",2992300
"Armenia",2017,"ARM",36.59,"Asia",0.0273373428102928,"ARM",2979400
"Armenia",2018,"ARM",29.52,"Asia",-19.3222191855698,"ARM",2969000
"Armenia",2019,"ARM",26.04,"Asia",-11.7886178861789,"ARM",2962500
"Armenia",2020,"ARM",26.08,"Asia",0.153609831029183,"ARM",2961500
"Armenia",2021,"ARM",23.49,"Asia",-9.93098159509202,"ARM",2962300
"Australia",2014,"AUS",10.09,"Oceania",NA,"AUS",23475686
"Australia",2015,"AUS",9.8,"Oceania",-2.87413280475718,"AUS",23815995
"Australia",2016,"AUS",8.69,"Oceania",-11.3265306122449,"AUS",24190907
"Australia",2017,"AUS",8.94,"Oceania",2.87686996547756,"AUS",24592588
"Austria",2014,"AUT",10.76,"Europe",NA,"AUT",8546356
"Austria",2015,"AUT",11.04,"Europe",2.60223048327137,"AUT",8642699
"Austria",2016,"AUT",10.91,"Europe",-1.17753623188405,"AUT",8736668
"Austria",2017,"AUT",10.45,"Europe",-4.21631530705775,"AUT",8797566
"Austria",2018,"AUT",10.42,"Europe",-0.287081339712913,"AUT",8840521
"Austria",2019,"AUT",11.01,"Europe",5.66218809980806,"AUT",8879920
"Austria",2020,"AUT",11.42,"Europe",3.72388737511353,"AUT",8916864
"Austria",2021,"AUT",12.26,"Europe",7.35551663747811,"AUT",8955797
"Bangladesh",2016,"BGD",28.88,"Asia",NA,"BGD",160811932
"Bangladesh",2017,"BGD",27.39,"Asia",-5.15927977839335,"BGD",162186147
"Barbados",2016,"BRB",28.99,"North America",NA,"BRB",279598
"Belarus",2016,"BLR",0.48,"Europe",NA,"BLR",9469379
"Belarus",2017,"BLR",0.38,"Europe",-20.8333333333333,"BLR",9458989
"Belarus",2018,"BLR",0.54,"Europe",42.1052631578947,"BLR",9438785
"Belarus",2019,"BLR",9.25,"Europe",1612.96296296296,"BLR",9419758
"Belarus",2020,"BLR",9.18,"Europe",-0.75675675675676,"BLR",9379952
"Belarus",2021,"BLR",7.73,"Europe",-15.7952069716776,"BLR",9302585
"Belgium",2014,"BEL",12.05,"Europe",NA,"BEL",11209057
"Belgium",2015,"BEL",12.18,"Europe",1.07883817427385,"BEL",11274196
"Belgium",2016,"BEL",9.89,"Europe",-18.8013136288998,"BEL",11331422
"Belgium",2017,"BEL",9.32,"Europe",-5.7633973710819,"BEL",11375158
"Belgium",2018,"BEL",9.15,"Europe",-1.82403433476395,"BEL",11427054
"Belgium",2019,"BEL",9.25,"Europe",1.09289617486338,"BEL",11488980
"Belgium",2020,"BEL",9.21,"Europe",-0.432432432432423,"BEL",11538604
"Belgium",2021,"BEL",7.42,"Europe",-19.4353963083605,"BEL",11586195
"Belize",2014,"BLZ",27.79,"North America",NA,"BLZ",348923
"Belize",2015,"BLZ",27.68,"North America",-0.39582583663188,"BLZ",356333
"Belize",2016,"BLZ",27.38,"North America",-1.08381502890174,"BLZ",364705
"Belize",2017,"BLZ",27.38,"North America",0,"BLZ",373202
"Belize",2019,"BLZ",24.88,"North America",-9.13075237399562,"BLZ",385829
"Belize",2021,"BLZ",30.25,"North America",21.5836012861736,"BLZ",395346
"Benin",2018,"BEN",35.1,"Africa",NA,"BEN",12383347
"Bhutan",2018,"BTN",15.19,"Asia",NA,"BTN",759759
"Bhutan",2019,"BTN",10.41,"Asia",-31.4680710994075,"BTN",764824
"Bhutan",2020,"BTN",11.97,"Asia",14.985590778098,"BTN",770006
"Bhutan",2021,"BTN",9.56,"Asia",-20.1336675020886,"BTN",775442
"Bolivia",2014,"BOL",11.16,"South America",NA,"BOL",10848888
"Bolivia",2015,"BOL",14.56,"South America",30.4659498207885,"BOL",11014705
"Bolivia",2016,"BOL",10.79,"South America",-25.8928571428571,"BOL",11180020
"Bolivia",2017,"BOL",11.58,"South America",7.32159406858203,"BOL",11344587
"Bolivia",2018,"BOL",10.83,"South America",-6.47668393782383,"BOL",11508368
"Bolivia",2019,"BOL",10.24,"South America",-5.44783010156971,"BOL",11671386
"Bolivia",2020,"BOL",13.7,"South America",33.7890625,"BOL",11816299
"Bolivia",2021,"BOL",10.98,"South America",-19.8540145985401,"BOL",11937360
"Bosnia and Herzegovina",2014,"BIH",27.1,"Europe",NA,"BIH",3564829
"Bosnia and Herzegovina",2015,"BIH",28.35,"Europe",4.61254612546125,"BIH",3518541
"Bosnia and Herzegovina",2016,"BIH",27.09,"Europe",-4.44444444444445,"BIH",3473003
"Bosnia and Herzegovina",2017,"BIH",25.51,"Europe",-5.83241048357327,"BIH",3428682
"Bosnia and Herzegovina",2018,"BIH",22.61,"Europe",-11.3680909447276,"BIH",3387000
"Bosnia and Herzegovina",2019,"BIH",22.6,"Europe",-0.0442282176028218,"BIH",3345533
"Bosnia and Herzegovina",2020,"BIH",21.81,"Europe",-3.49557522123895,"BIH",3299349
"Bosnia and Herzegovina",2021,"BIH",19.3,"Europe",-11.508482347547,"BIH",3244907
"Botswana",2019,"BWA",31.98,"Africa",NA,"BWA",2332083
"Botswana",2020,"BWA",37.14,"Africa",16.1350844277674,"BWA",2365894
"Botswana",2021,"BWA",35.17,"Africa",-5.30425417339795,"BWA",2401441
"Botswana",2022,"BWA",37,"Africa",5.20329826556724,"BWA",2439892
