Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,33831764,34700612,35688935,36743039,37856121,39068979,40000412
"Population, total",SP.POP.TOTL,Albania,ALB,2880703,2876101,2873457,2866376,2854191,2837849,2811666
"Population, total",SP.POP.TOTL,Algeria,DZA,40019529,40850721,41689299,42505035,43294546,44042091,44761099
"Population, total",SP.POP.TOTL,American Samoa,ASM,52878,52245,51586,50908,50209,49761,49225
"Population, total",SP.POP.TOTL,Andorra,AND,72174,72181,73763,75162,76474,77380,78364
"Population, total",SP.POP.TOTL,Angola,AGO,28157798,29183070,30234839,31297155,32375632,33451132,34532429
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,89409,89969,90468,90926,91364,91846,92349
"Population, total",SP.POP.TOTL,Argentina,ARG,43477012,43900313,44288894,44654882,44973465,45191965,45312281
"Population, total",SP.POP.TOTL,Armenia,ARM,3004600,2992300,2979400,2969000,2962500,2961500,2962300
"Population, total",SP.POP.TOTL,Aruba,ABW,107906,108727,108735,108908,109203,108587,107700
"Population, total",SP.POP.TOTL,Australia,AUS,23815995,24190907,24592588,24963258,25334826,25649248,25685412
"Population, total",SP.POP.TOTL,Austria,AUT,8642699,8736668,8797566,8840521,8879920,8916864,8955797
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9649341,9757812,9854033,9939771,10024283,10093121,10137750
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,385346,388055,390485,392717,394675,395863,396373
"Population, total",SP.POP.TOTL,Bahrain,BHR,1370322,1423726,1501116,1503091,1483756,1472204,1504365
"Population, total",SP.POP.TOTL,Bangladesh,BGD,159383179,160811932,162186147,163523103,164913055,166298024,167658854
"Population, total",SP.POP.TOTL,Barbados,BRB,278990,279598,280171,280711,281207,281698,282147
"Population, total",SP.POP.TOTL,Belarus,BLR,9461076,9469379,9458989,9438785,9419758,9379952,9302585
"Population, total",SP.POP.TOTL,Belgium,BEL,11274196,11331422,11375158,11427054,11488980,11538604,11586195
"Population, total",SP.POP.TOTL,Belize,BLZ,356333,364705,373202,380226,385829,390812,395346
"Population, total",SP.POP.TOTL,Benin,BEN,11360681,11697842,12039780,12383347,12726755,13070169,13413417
"Population, total",SP.POP.TOTL,Bermuda,BMU,63464,63449,63578,63831,64107,64382,64648
"Population, total",SP.POP.TOTL,Bhutan,BTN,740618,747866,754335,759759,764824,770006,775442
"Population, total",SP.POP.TOTL,Bolivia,BOL,11014705,11180020,11344587,11508368,11671386,11816299,11937360
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3518541,3473003,3428682,3387000,3345533,3299349,3244907
"Population, total",SP.POP.TOTL,Botswana,BWA,2203273,2234776,2266747,2299141,2332083,2365894,2401441
"Population, total",SP.POP.TOTL,Brazil,BRA,201675532,203218114,204703445,206107261,207455459,208660842,209550294
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,34498,33878,32699,34657,36395,37135,37809
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,422212,427564,432772,437810,442680,447404,451721
"Population, total",SP.POP.TOTL,Bulgaria,BGR,6984225,6894139,6803468,6710798,6616726,6550696,6507301
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,18777487,19334856,19894407,20438288,20961952,21478690,21995243
"Population, total",SP.POP.TOTL,Burundi,BDI,11047580,11239451,11506762,11859446,12255336,12617036,12965481
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,512394,512554,512893,513415,514104,514679,516649
"Population, total",SP.POP.TOTL,Cambodia,KHM,15623251,15852803,16073372,16274522,16481304,16725474,16974305
"Population, total",SP.POP.TOTL,Cameroon,CMR,22763414,23454161,24128601,24806383,25506095,26210558,26915758
"Population, total",SP.POP.TOTL,Canada,CAN,35704498,36110803,36545075,37072620,37618495,38028638,38239864
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,61642,63100,64535,65941,67327,68684,70108
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4629320,4713663,4793511,4878657,4944703,5026628,5112100
"Population, total",SP.POP.TOTL,Chad,TCD,14647621,15114655,15622759,16156531,16685223,17224679,17828273
"Population, total",SP.POP.TOTL,Channel Islands,CHI,163454,163883,164319,164949,165639,166235,166741
"Population, total",SP.POP.TOTL,Chile,CHL,18047625,18267221,18558868,18893191,19197744,19370624,19456334
"Population, total",SP.POP.TOTL,China,CHN,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000
"Population, total",SP.POP.TOTL,Colombia,COL,46969940,47437512,48131078,49024465,49907985,50629997,51188173
"Population, total",SP.POP.TOTL,Comoros,COM,726682,741741,756669,771590,786578,802163,818174
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,81035531,83956415,87083398,90047644,92947442,95989998,99148932
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,5097581,5222536,5351011,5483118,5616661,5752791,5892183
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4818038,4866998,4913177,4957818,4999553,5034320,5059988
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,25246342,25989405,26733372,27464173,28193009,28915449,29639736
"Population, total",SP.POP.TOTL,Croatia,HRV,4151725,4106867,4041407,3988775,3949390,3914206,3878981
"Population, total",SP.POP.TOTL,Cuba,CUB,11275065,11265612,11247829,11227118,11202846,11176354,11122168
"Population, total",SP.POP.TOTL,Curacao,CUW,157980,159664,160175,159336,157441,154947,152369
"Population, total",SP.POP.TOTL,Cyprus,CYP,1219502,1237112,1254275,1270737,1286671,1302247,1317309
"Population, total",SP.POP.TOTL,Czechia,CZE,10546059,10566332,10594438,10629928,10671870,10697858,10505772
"Population, total",SP.POP.TOTL,Denmark,DNK,5683483,5728010,5764980,5793636,5814422,5831404,5856733
"Population, total",SP.POP.TOTL,Djibouti,DJI,1020313,1037653,1054841,1071882,1088709,1105188,1121248
"Population, total",SP.POP.TOTL,Dominica,DMA,70410,69606,68496,68174,67880,67573,67202
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,10434829,10551430,10666843,10782053,10894043,11008300,11123476
"Population, total",SP.POP.TOTL,Ecuador,ECU,16266225,16505139,16759519,17049547,17340021,17546065,17682454
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,99597342,101644589,103696057,105682094,107553158,109315124,110957008
"Population, total",SP.POP.TOTL,El Salvador,SLV,6183676,6200800,6213533,6219807,6222318,6234673,6255782
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1453923,1508186,1562396,1616422,1670177,1716468,1758786
"Population, total",SP.POP.TOTL,Eritrea,ERI,3105546,3124698,3150347,3192760,3240194,3291271,3350183
"Population, total",SP.POP.TOTL,Estonia,EST,1315407,1315790,1317384,1321977,1326898,1329522,1330932
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1142813,1149507,1158195,1168929,1179874,1192729,1206593
"Population, total",SP.POP.TOTL,Ethiopia,ETH,103867135,106718162,109666481,112664152,115737383,118917671,122138588
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,48901,49464,50180,50996,51793,52567,53305
"Population, total",SP.POP.TOTL,Fiji,FJI,918578,919166,918759,917180,914899,914963,916711
"Population, total",SP.POP.TOTL,Finland,FIN,5479531,5495303,5508214,5515525,5521606,5529543,5541017
"Population, total",SP.POP.TOTL,France,FRA,66548272,66724104,66918020,67158348,67382061,67601110,67842811
"Population, total",SP.POP.TOTL,French Polynesia,PYF,277866,279178,280087,279815,279034,279209,279792
"Population, total",SP.POP.TOTL,Gabon,GAB,2040989,2100306,2156900,2212318,2267706,2322539,2376722
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,2224529,2283769,2342189,2399632,2456844,2515733,2576010
"Population, total",SP.POP.TOTL,Georgia,GEO,3725276,3727505,3728004,3726549,3720161,3722716,3708610
